BY4741 Ctr1 A,BY4741 Ctr1 B,ldb19D Ctr1 A,ldb19D Ctr1 B,9ArrD Ctr1 C,9ArrD Ctr1 D
1.068407,1.072004,1.169109,,,
1.145795,1.139888,1.124177,,,
0.9979794,1.0165251,1.1149033,,,
1.295452,1.241983,1.052545,,,
1.19109,1.010777,1.205053,,,
1.105101,1.187216,0.906655,,,
1.013578,1.203938,1.352271,,,
1.050629,1.178448,1.144232,,,
0.9741391,1.029867,1.2649234,,,
1.317473,1.112072,1.010093,,,
1.000689,1.025605,1.085046,,,
1.226692,1.1203179,0.9601116,,,
1.040303,1.119194,0.965499,,,
1.0199437,1.0956378,0.9794325,,,
0.9690685,1.0637328,0.921525,,,
1.088637,1.187268,1.189105,,,
0.8749158,1.1246233,1.0773367,,,
0.9982661,1.1062204,0.9720746,,,
,1.0488649,0.9503952,,,
,1.183873,1.073287,,,
,0.9974888,1.0639529,,,
,1.017716,1.125354,,,
,1.0831063,0.9651002,,,
,1.080174,1.302927,,,
,1.24055,1.254846,,,
,1.163136,1.305239,,,
,1.139189,1.192223,,,
,1.0391701,0.9701753,,,
,1.1668521,0.9797114,,,
,1.1598015,0.9393853,,,
,1.1036671,0.9404589,,,
,1.029823,1.009825,,,
,1.019914,1.219396,,,
,1.0046315,0.9801225,,,
,1.139628,1.026159,,,
,0.9889565,0.9707209,,,
,,1.025201,,,
,,0.9843167,,,
,,1.17635,,,
,,1.09797,,,
,,1.060617,,,
,,1.064984,,,
,,0.987481,,,
,,0.9443585,,,
,,1.067096,,,
,,1.187755,,,
,,1.191459,,,
,,0.9928272,,,
,,1.180047,,,
,,0.991061,,,
,,0.9571738,,,
,,1.272474,,,
,,1.034725,,,
,,1.149382,,,
