"V1","V2","V3","V4","V5","V6","V7","V8","V9","V10","V11","V12","V13","V14","V15","V16","V17","V18","V19","V20","V21","V22","V23","V24","V25","V26","V27","V28","V29","V30","V31","V32","V33","V34","V35","V36","V37","V38","V39","V40","V41","V42","V43","V44","V45","V46"
"9ArrD 316 Git1GFPA_003","9ArrD 316 Git1GFPA_004","9ArrD 316 Git1GFPA_005","9ArrD 316 Git1GFPA_006","9ArrD 316 Git1GFPA_008","9ArrD Aiy1 Git1GFPA_003","9ArrD Aiy1 Git1GFPA_004","9ArrD Aiy1 Git1GFPA_005","9ArrD Aiy1 Git1GFPA_006","9ArrD Aiy1 Git1GFPA_007","9ArrD Aiy1 Git1GFPA_008","9ArrD Aly2 Git1GFPA_003","9ArrD Aly2 Git1GFPA_004","9ArrD Aly2 Git1GFPA_008","9ArrD Csr2 Git1GFPA_002","9ArrD Csr2 Git1GFPA_003","9ArrD Csr2 Git1GFPA_004","9ArrD Csr2 Git1GFPA_006","9ArrD Csr2 Git1GFPA_007","9ArrD Ecm21 Git1GFPA_003","9ArrD Ecm21 Git1GFPA_006","9ArrD Ecm21 Git1GFPA_007","9ArrD Ldb19 Git1GFPA_003","9ArrD Ldb19 Git1GFPA_005","9ArrD Ldb19 Git1GFPA_008","9ArrD Rod1 Git1GFPA_002","9ArrD Rod1 Git1GFPA_005","9ArrD Rod1 Git1GFPA_008","9ArrD Rod1 Git1GFPA_011","9ArrD Rog3 Git1GFPA_003","9ArrD Rog3 Git1GFPA_005","9ArrD Rog3 Git1GFPA_006","9ArrD Ylr392c Git1GFPA_003","9ArrD Ylr392c Git1GFPA_005","9ArrD Ylr392c Git1GFPA_007","9ArrDYgr068c Git1GFPA_005","9ArrDYgr068c Git1GFPA_006","9ArrDYgr068c Git1GFPA_007","WT 316 Git1GFPA_002","WT 316 Git1GFPA_003","WT 316 Git1GFPA_004","WT 316 Git1GFPA_005","WT 316 Git1GFPA_006","WT 316 Git1GFPA_007","WT 316 Git1GFPA_008","WT 316 Git1GFPA_009"
"0.17162332","0.13212504","0.05062409","0.06671197","0.22240296","0.13659484","0.34644203","0.27025942","0.04062742","0.08759375","0.05690742","0.07621034","0.12702961","0.12549464","0.28888643","0.08507119","0.40528589","0.06671268","0.12847313","0.18912367","0.06298701","0.06503667","0.11315787","0.22325998","0.24226702","0.04832720","0.17734847","0.05580529","0.19614344","0.10798321","0.23720501","0.17028070","0.04742820","0.15566610","0.06741934","0.10905529","0.07654804","0.06709280","0.09750335","0.08400615","0.15500484","0.33941120","0.25374620","0.04426346","0.17102476","0.09920052"
"0.15435868","0.18341000","0.33884444","0.20584883","0.09592538","0.14658903","0.14808626","0.04055010","0.06229379","0.16050307","0.28844654","0.33944089","0.09906336","0.05880443","0.19803288","0.09462156","0.30759219","0.06471317","0.26169343","0.26100380","0.23698994","0.13488083","0.04590441","0.17165796","0.05401178","0.09253442","0.15657923","0.04226985","0.25583266","0.33992245","0.06578354","0.16901752","0.09728584","0.11863672","0.05307098","0.16456515","0.05329721","0.27500412","0.04388282","0.07541547","0.16623715","0.26851419","0.04859739","0.06823810","0.07538024","0.31691859"
"0.17858765","0.07201807","0.07857577","0.13700506","0.15760564","0.12813856","0.09423592","0.06911635","0.17090862","0.28581052","0.09843000","0.21439542","0.11157576","0.13813647","0.06333600","0.28259691","0.07253269","0.04797555","0.04938512","0.30783775","0.08143856","0.22886930","0.07724097","0.13078821","0.06950386","0.27635533","0.07004822","0.05188074","0.22078078","0.19889493","0.09245272","0.14177062","0.21338976","0.14315970","0.15882157","0.25833830","0.08730492","0.08819603","0.09626333","0.13004817","0.05873648","0.21640317","0.03719154","0.06787152","0.03713800","0.36670057"
"0.16736570","0.16592717","0.23376694","0.13930354","0.03996315","0.22037123","0.12484706","0.30928590","0.18625265","0.05944451","0.05910338","0.09188839","0.08202591","0.07129144","0.08901405","0.15707245","0.27168764","0.12729280","0.12600737","0.11461046","0.22190198","0.18514794","0.11706961","0.12328667","0.14522972","0.13990350","0.11593400","0.17375248","0.21844588","0.12756649","0.08211077","0.09544488","0.16984588","0.35801129","0.08127531","0.33971336","0.06776222","0.21515450","0.12665266","0.05302149","0.11040912","0.20338811","0.07091834","0.05358821","0.46818844","0.06467109"
"0.19455468","0.11819538","0.16347093","0.18230874","0.20504008","0.45398251","0.08823593","0.20130256","0.05539558","0.17472837","0.18127084","0.05825954","0.17028392","0.10422839","0.05248025","0.15783476","0.11813782","0.21512607","0.05578365","0.13510547","0.13050815","0.27460826","0.09057126","0.09631823","0.12624734","0.18401047","0.29430240","0.12904389","0.06153729","0.06185638","0.04915738","0.03559017","0.09177711","0.11017666","0.23089350","0.22730449","0.18588970","0.32459541","0.22500990","0.12034791","0.04503731","0.14172943","0.14127289","0.05636478","0.08591855","0.13841673"
"0.18908585","0.21960935","0.15585475","0.11506531","0.16462990","0.27778230","0.36432933","0.04114103","0.12091614","0.09678787","0.15215372","0.15541757","0.22953858","0.03622893","0.17490949","0.18522352","0.22467710","0.27816627","0.20017052","0.27637371","0.10671750","0.08891070","0.08515036","0.05715171","0.04058884","0.08421754","0.31208139","0.09834103","0.10797877","0.05539717","0.13060808","0.22483667","0.06229609","0.10866803","0.09612487","0.16357644","0.09138943","0.10789184","0.13231823","0.05006120","0.04327576","0.23003527","0.09603426","0.04143538","0.08595292","0.09983206"
"0.09145890","0.35576548","0.11594946","0.12435067","0.13257088","0.12530742","0.18285400","0.31156086","0.21626124","0.13214666","0.18771734","0.04382575","0.23119896","0.17108960","0.04023200","0.19813016","0.09475181","0.19036797","0.11604982","0.28133775","0.06200813","0.15163952","0.04602276","0.21437306","0.31752139","0.03995996","0.06603633","0.07084882","0.10318236","0.04409704","0.35778987","0.24312457","0.07822224","0.32012428","0.13415849","0.12184833","0.05727816","0.16652252","0.16456897","0.07711322","0.17874691","0.05541686","0.03753703","0.31095709","0.19021072","0.14387172"
"0.22238550","0.06624982","0.20210894","0.20146476","0.19237144","0.27840235","0.17767974","0.26667677","0.21470287","0.27512366","0.06113542","0.14361142","0.14494916","0.12124082","0.09203930","0.14699053","0.04543208","0.05608513","0.17330752","0.11304920","0.10574521","0.03119261","0.13816961","0.10839079","0.22173974","0.27991359","0.07239372","0.07685979","0.04908656","0.06505198","0.28725252","0.08963077","0.12956626","0.13071332","0.22754173","0.08369033","0.10068427","0.23589286","0.05519642","0.12353435","0.04824216","0.13797575","0.14592049","0.05837979","0.10366199","0.11193706"
"0.14413742","0.35441083","0.36424833","0.25831470","0.36306480","0.15724905","0.13446932","0.07360465","0.05889818","0.03954386","0.04763336","0.05272867","0.33577813","0.16186090","0.18330823","0.06189247","0.11163178","0.22341718","0.03139192","0.10472228","0.24513328","0.07349330","0.03639578","0.12475311","0.35349902","0.36755643","0.36967192","0.13454541","0.22135732","0.09394505","0.07649143","0.25499227","0.33016711","0.12085596","0.05346656","0.25637647","0.07664668","0.10651687","0.25377005","0.05650759","0.12440435","0.06079525","0.10740952","0.04045310","0.20924832","0.07953299"
"0.07244793","0.35892633","0.03851364","0.18052744","0.10040389","0.35746694","0.18859184","0.07534120","0.10210690","0.27638081","0.05717993","0.08414064","0.21279514","0.15875527","0.05329912","0.16676035","0.26740506","0.13654570","0.11887115","0.32178423","0.22691819","0.22344922","0.11175771","0.04791069","0.08592976","0.15753613","0.15738164","0.25232977","0.23980669","0.17376984","0.23148427","0.05167723","0.18325454","0.06163692","0.26791167","0.03741978","0.07306961","0.20940091","0.19648155","0.11712385","0.18361653","0.07305924","0.04125475","0.10531461","0.11970353","0.04941024"
"0.28915550","0.13694092","0.21219676","0.19552653","0.05034626","0.44870695","0.11005594","0.06471095","0.04678861","0.15269826","0.19806965","0.10683079","0.15771858","0.14204561","0.06569269","0.08497797","0.16144518","0.06773726","0.12140723","0.16164429","0.26977089","0.09480950","0.05493553","0.07658897","0.37146430","0.21995420","0.10963706","0.08602745","0.14728058","0.14493309","0.13435251","0.19067442","0.17552978","0.18597116","0.17127191","0.13854741","0.05506764","0.07613940","0.12194572","0.07596972","0.05857401","0.18926024","0.06662543","0.04402012","0.15603876","0.10354781"
"0.27608432","0.07033734","0.22368513","0.05857949","0.17806823","0.34036290","0.16313202","0.29511623","0.04506266","0.05861425","0.18192232","0.06451051","0.04724708","0.15661822","0.37445848","0.08920635","0.16720396","0.24980905","0.16790100","0.08362984","0.15324486","0.15193586","0.10612654","0.17333826","0.04741269","0.07017567","0.22728225","0.19814513","0.18322395","0.15932338","0.10575080","0.05236219","0.19058206","0.06818904","0.05246838","0.23593284","0.24577987","0.10728349","0.25399259","0.04479393","0.06910580","0.15213044","0.04792425","0.09234153","0.18883809","0.07900030"
"0.12334487","0.13714688","0.12379187","0.11387845","0.07601701","0.22826408","0.08969782","0.22434721","0.08657681","0.23858446","0.11365224","0.09856701","0.19399537","0.11272822","0.12924750","0.03919308","0.15459239","0.15082956","0.10457049","0.10059582","0.09959719","0.26266469","0.08669421","0.12162311","0.07347775",,"0.12924114","0.10870307","0.08088847","0.17133285","0.13204253","0.21707663","0.22296117","0.05986926","0.19738768","0.21242008","0.11843576","0.25383685","0.16655218","0.11185990","0.04806254","0.05181526","0.04877001","0.06557290","0.09604585","0.11438917"
"0.04429303","0.13512347","0.15211581","0.24282746","0.19306924","0.07165655","0.10129740","0.10143165","0.10672872","0.10726870","0.05419172","0.07255375","0.10430272","0.16715583","0.25854162","0.13951992","0.19696928","0.05048160","0.10079719","0.06823228","0.16888958","0.06362488","0.09819925","0.13465184","0.08401748",,"0.17893138","0.14236049","0.09103488","0.10780154","0.07139516","0.05717278","0.18319596","0.08449688","0.12641477","0.04034179","0.13047006","0.16849041","0.10763539","0.14793363","0.28226378","0.05996481","0.05840158","0.08149155","0.11916165","0.11599127"
"0.04163029","0.05496300","0.06901966","0.12592809","0.15698650","0.03729185","0.09185754","0.06454986","0.13300947","0.34982438","0.19236353","0.27160958","0.23913031","0.14506557","0.08257685","0.16835929","0.07391782","0.32170216","0.05146868","0.07730827","0.20993040","0.26620612","0.25619047","0.06377163","0.20328615",,"0.29646925","0.09782404","0.06152773","0.07393005","0.18869565","0.06501471","0.06639794","0.23212975","0.04173447","0.05136159","0.22522263","0.21972687","0.12343595","0.08332820","0.04614724","0.10715062","0.04624410","0.28397220","0.14590977","0.04214149"
"0.09718778","0.14039781","0.10506613","0.14529873","0.08774153","0.09022329","0.05083489","0.17290945","0.06956807","0.33610882","0.16421000","0.09741577","0.11141641","0.21331815","0.10956434","0.12591127","0.17879985","0.21597552","0.11581081","0.05125762","0.06158606","0.17543544","0.04188485","0.13592456","0.12168009",,"0.09650103","0.10138432","0.04846719","0.22143996","0.04972558","0.12772630","0.09149283","0.14753302","0.18654772","0.16546484","0.21889097","0.33447015","0.19328453","0.11087369","0.11777829","0.09644434","0.19865244","0.05744049","0.07940114","0.21087265"
"0.11879432","0.34205179","0.19162909","0.32683648","0.04006998","0.16590644","0.09426325","0.09672631","0.06594114","0.23796437","0.30064569","0.29911903","0.17826349","0.05711155","0.11743864","0.08741993","0.18128989","0.10673042","0.30575632","0.04133692","0.15098470","0.22431253","0.17571160","0.19586318","0.05019471",,"0.11713928","0.07525988","0.21023562","0.28930949","0.19441460","0.08519901","0.06252872","0.08527622","0.05865114","0.19020791","0.24598182","0.11880952","0.10454340","0.07280137","0.04777417","0.05150856","0.09186989","0.18244324","0.17732709","0.14053697"
"0.08121230","0.17476772","0.07732883","0.17606408","0.09209118","0.07723685","0.24434637","0.20711870","0.09225465","0.31231540","0.06613987","0.21335610","0.04922821","0.08771141","0.12641804","0.20792482","0.21589118","0.27976812","0.07080110","0.10438446","0.08761724","0.06045615","0.17606164","0.11602466","0.12090531",,"0.05189964","0.07026943","0.18385884","0.12465259","0.33396388","0.08254428","0.24595892","0.12468444","0.16308298","0.15792060","0.15544673","0.37955309","0.14249187","0.10306231","0.06002373","0.14872758","0.10492918","0.23698313","0.19034259","0.07152039"
"0.06965969","0.30275335","0.24232588","0.05756907","0.06980696","0.34621607","0.14063275","0.22259629","0.16927452","0.32263436","0.05847390","0.09985980","0.15664841","0.16198778","0.30051336","0.33541583","0.07534730","0.30931061","0.07766885","0.04686468","0.12792735","0.09666329","0.21182757","0.12074368","0.06952855",,"0.05474835","0.08367320","0.13382339","0.21704273","0.19877603","0.12688764","0.32550807","0.19488999","0.09505648","0.15934245","0.22801777","0.15041447","0.16963446","0.06020108","0.08618470","0.12248882","0.09806894","0.11918025","0.05375884","0.06336064"
"0.07801061","0.09108611","0.22694262","0.13689163","0.08618089","0.17677577","0.15793968","0.15977006","0.13480335","0.39735360","0.14140129","0.03848664","0.20355589","0.11509943","0.13840263","0.08417730","0.26824097","0.35926390","0.17995350","0.13176999","0.25863070","0.07132736","0.15824751","0.22394501","0.13691713",,"0.13199037","0.05661402","0.13643168","0.20973048","0.07043094","0.05692315","0.12867416","0.29308869","0.12200111","0.08027754","0.10947905","0.28661251","0.04822175","0.28202337","0.05190709","0.03921278","0.10383581","0.09980999","0.09761262","0.07985803"
"0.09328546","0.32990058","0.08273524","0.06302984","0.14019810","0.21050422","0.23769427","0.23340600","0.30308150","0.10984240","0.06421211","0.07472810","0.11931587","0.29072631","0.18287326","0.13490048","0.06852197","0.18699332","0.32435336","0.05303398","0.10519200","0.15277085","0.24016309","0.12169582","0.04979568",,"0.12179370","0.28420790","0.05197543","0.12803114","0.07360520","0.04696424","0.08827069","0.43689527","0.15590103","0.09360027","0.24548945","0.07555980","0.07981898","0.06745693","0.07874096","0.06175964","0.10412319","0.03346104","0.09392253","0.31688719"
"0.12102744","0.20655586","0.08605176","0.11313125","0.10851499","0.18020458","0.10793754","0.13152200","0.20029503","0.05663305","0.19783268","0.06026305","0.24108221","0.11059329","0.05510736","0.09046140","0.38064430","0.05945650","0.14294225","0.03970576","0.09956672","0.24201159","0.06296645","0.11199457","0.15031489",,"0.20388488","0.06933947",,"0.08971002","0.06177249","0.16924990","0.08092650","0.16655030","0.08032829","0.10652130","0.10280325","0.35202126","0.06494356","0.30853363","0.09863479","0.07547708","0.32899140","0.14702897","0.10670817","0.14901469"
"0.24622823","0.37565816","0.31319009","0.17107340","0.03444497","0.30989281","0.12273111","0.04777899","0.22607793","0.05038219","0.16103438","0.18187278","0.09827114","0.04890834","0.13353703","0.10055465","0.34508324","0.03425433","0.11804685","0.22480982","0.15613710","0.08207416","0.16143357","0.05763494","0.19251824",,"0.22171691","0.05784502",,"0.24773139","0.13102326","0.09581422","0.32943463","0.05944210","0.15125330","0.05561995","0.12157363","0.09853332","0.05863353","0.25504619","0.17470326","0.14580017","0.11352223","0.08877390","0.05343517","0.13199036"
"0.34014430","0.14115666","0.32024024","0.25132485","0.12075443","0.24031684","0.08910194","0.20189426","0.20790620","0.16118493","0.38211285","0.05824183","0.25198756","0.12952216","0.24763140","0.06598285","0.12704468","0.14976568","0.13337344","0.16478388","0.07710929","0.06971945","0.14703849","0.05307379","0.03987509",,"0.19763135","0.15002661",,"0.16883741",,"0.15469543","0.26218073","0.13770393","0.22316756","0.10900985","0.16654700","0.06088275","0.11858959","0.07440214","0.06144822","0.16522293","0.19647216","0.07903634","0.19190462","0.07168496"
"0.27905736","0.13949990","0.29622718","0.06464277","0.16085863","0.24714559","0.04614293","0.23795756","0.13908489","0.26019645","0.22694926","0.09606263","0.03781683","0.16163296","0.12185753","0.17489704","0.31238521","0.06222367",,"0.17743575","0.28784967","0.15120368","0.26435588","0.16338198","0.11586782",,"0.28130522","0.11891700",,"0.15796534",,"0.03874328","0.16393186","0.09194584","0.07382368","0.07236281","0.12064442","0.08939550","0.07238132","0.16272281","0.19279998","0.06135940","0.06546208","0.10853238","0.07107779","0.07274820"
"0.06353907","0.23893632","0.11899850","0.21460947","0.09634611","0.14405262","0.05952902","0.06199276","0.12566259","0.12610429","0.11420186","0.09297764","0.04544672","0.14497418","0.03398897","0.10367163","0.28296044","0.26854291",,"0.10013697","0.17126896","0.37081115","0.08513594","0.13573544","0.07339604",,"0.03554566","0.10754943",,"0.19611162",,"0.05767563","0.09855123","0.09418641","0.11866773","0.12343574","0.30905489","0.30333715","0.06689316","0.07370402","0.15417455","0.04776254","0.16376994","0.31966666","0.12625218","0.07079689"
"0.04615324","0.12571137","0.36588638","0.27157084","0.08374311","0.19707109","0.18577891","0.06730439","0.21663565","0.15263876","0.06372756","0.11066702","0.22508958","0.25038637",,"0.08753881","0.08007887","0.06358866",,"0.22807763","0.13246625","0.28807981","0.26784761","0.23961832","0.18568652",,"0.05703258",,,"0.08715565",,"0.11368386","0.35382068","0.15157412","0.14080636","0.06181928","0.40826384","0.07073904","0.08428052","0.15447964","0.08117422","0.11250510","0.03619231","0.06522660","0.14237457","0.29657870"
"0.14157415","0.05255999","0.05853984","0.06119365","0.12391999","0.04278012","0.23674511","0.21362996","0.18155791","0.11464901","0.22826559","0.06073723","0.12710428","0.07589165",,"0.10861225","0.24839438","0.10404045",,"0.32531498","0.18814214","0.09562645","0.08030438","0.06325696","0.08079585",,"0.05675045",,,,,"0.31512916","0.34856933","0.14770677","0.08666136","0.39662071","0.07097770","0.06651587","0.13189020","0.23411098","0.05599010","0.09408032","0.04744407","0.05013882","0.17699886","0.13520959"
,"0.04808691","0.25628033","0.34632645","0.19071724","0.15215443","0.18140938","0.22574155","0.21164960","0.11546588","0.06233283","0.17914864","0.04927501","0.04760581",,"0.27220093","0.25266927","0.13909341",,"0.26617797","0.07215218","0.25942014","0.15180234","0.21980249","0.11148215",,"0.06750849",,,,,"0.17670656","0.14861688","0.17100929","0.25295457","0.05145063","0.09394856","0.23783273","0.08603996","0.18741151","0.21239945","0.06639935","0.05846638","0.13792458","0.06519849","0.17340398"
