ImageNumber,ObjectNumber,AreaShape_Area,AreaShape_Center_X,AreaShape_Center_Y,AreaShape_Center_Z,AreaShape_Compactness,AreaShape_Eccentricity,AreaShape_EulerNumber,AreaShape_Extent,AreaShape_FormFactor,AreaShape_MajorAxisLength,AreaShape_MaxFeretDiameter,AreaShape_MaximumRadius,AreaShape_MeanRadius,AreaShape_MedianRadius,AreaShape_MinFeretDiameter,AreaShape_MinorAxisLength,AreaShape_Orientation,AreaShape_Perimeter,AreaShape_Solidity,Classify_Row0,Classify_Row1,Classify_Row2,Classify_Row3,Classify_Row4,Classify_Row5,Classify_Row6,Classify_Row7,Location_Center_X,Location_Center_Y,Number_Object_Number
1,1,403,122.0,57.0,1.0,3.383459543859442,0.7692410099078277,6.0,0.24603174603174602,0.09446813916069814,49.64112105587403,42.95346318982906,4.0,1.6087170024434325,1.4142135623730951,31.400000000000002,31.718628055363848,-29.653727772574754,231.53399999999965,0.36078782452999114,0,1,0,0,0,0,0,0,134.6997518610422,53.1439205955335,1
1,2,178,208.0,33.0,1.0,7.2709287595598076,0.8107687552844062,5.0,0.16036036036036036,0.15477660616908254,49.5325180920254,39.6232255123179,4.0,1.5348640259412556,1.0,28.756574797068687,28.994680395886085,80.68690995059085,120.21600000000005,0.22432262129804656,0,1,0,0,0,0,0,0,211.41573033707866,39.747191011235955,2
1,3,94,284.0,52.0,1.0,15.043692363370088,0.8740602293533545,3.0,0.07912457912457913,0.2801345348280417,53.9549951833731,46.010868281309364,4.123105625617661,1.5812217292478554,1.4142135623730951,19.251318387801607,26.212284879356833,35.19197564020325,64.93600000000002,0.16095890410958907,0,1,0,0,0,0,0,0,288.98936170212767,49.234042553191486,3
1,4,204,133.0,142.0,1.0,6.415920444691743,0.7632749473352706,13.0,0.159375,0.06095157652559389,48.4807085724931,44.294469180700204,3.0,1.282209494105635,1.0,29.644301566820822,31.322115603764065,-83.57191286443955,205.08199999999988,0.19834710743801653,0,0,1,0,0,0,0,0,132.2549019607843,133.91176470588235,4
1,5,67,214.0,110.0,1.0,14.704211656059499,0.723688833647748,3.0,0.08701298701298701,0.2857623368750859,41.229189926958455,34.0147027033899,3.1622776601683795,1.4087201210150733,1.0,20.57397867634799,28.453353138394313,29.327595504216145,54.280000000000015,0.14938684503901895,0,0,1,0,0,0,0,0,216.8507462686567,117.95522388059702,5
1,6,472,141.0,222.0,1.0,2.6273490005067366,0.5380362930389778,5.0,0.26135105204872644,0.08576036161389425,42.96205527886445,46.09772228646444,4.242640687119285,1.654450964390996,1.4142135623730951,33.88762508675724,36.21364752544374,-36.15921249678055,262.98599999999936,0.37549721559268107,0,0,0,1,0,0,0,0,131.60169491525423,217.42372881355934,6
1,7,118,207.0,219.0,1.0,6.531249656812538,0.9852966416030362,3.0,0.39730639730639733,0.25163826248294724,43.666639478036586,32.2490309931942,4.123105625617661,1.5761399516987038,1.2071067811865475,8.0,7.460548296684969,-2.1004748215195232,76.76400000000002,0.47580645161290325,0,0,0,1,0,0,0,0,216.84745762711864,218.40677966101694,7
1,8,70,310.0,231.0,1.0,8.426172818391581,0.9844531547415026,2.0,0.38461538461538464,0.4150257154097051,38.18406542265466,25.317977802344327,3.0,1.5353026263511473,1.4142135623730951,6.0,6.706929312139877,88.69308392475695,46.03800000000002,0.4268292682926829,0,0,0,1,0,0,0,0,310.3285714285714,222.21428571428572,8
1,9,451,132.0,317.0,1.0,3.2823964321346155,0.8462319963196002,7.0,0.2907801418439716,0.0921860457904846,54.16426693384787,47.07440918375928,5.0990195135927845,1.7332910228767773,1.4142135623730951,31.177180717800216,28.859512750882654,71.3485174382355,247.9479999999996,0.3835034013605442,0,0,0,0,1,0,0,0,126.36585365853658,305.06651884700665,9
1,10,52,234.0,301.0,1.0,14.713703531058128,0.9904118068704324,2.0,0.10276679841897234,0.476341207184347,43.72149397850869,29.068883707497267,3.0,1.458913172605179,1.0,5.735325981226337,6.039970948461832,41.21969611295215,37.03800000000001,0.37545126353790614,0,0,0,0,1,0,0,0,228.32692307692307,296.28846153846155,10
