"CellID","vacuoles","cell_area","vac_area","PM_vac_ratio","cell_mpi","vac_mpi","pm_center_x","pm_center_y"
1,60,270,288,2.80086812204775,4469.0962962963,1595.61111111111,275.403703703704,18.5148148148148
2,61,815,490,2.40050418673998,7694.68343558282,3205.4447053611,319.18773006135,57.1779141104294
3,62,297,256,1.67873864335119,4674.94612794613,2784.796875,49.2424242424242,44.7037037037037
4,63,387,311,2.85236147354216,13556.0542635659,4752.57234726688,450.984496124031,54.8036175710594
5,64,390,382,2.33612844100797,19049.941025641,8154.49214659686,383.033333333333,57.3128205128205
6,65,305,45,1.89759826378334,5041.66557377049,2656.86666666667,132.67868852459,69.4262295081967
7,66,406,45,2.80122769957142,7198.47044334975,2569.75555555556,421.322660098522,83.4605911330049
8,67,336,77,2.10859443040505,14065.5297619048,6670.57142857143,220.511904761905,79.0833333333333
9,68,315,117,2.77253843636616,5906.95238095238,2130.52136752137,467.460317460317,90.184126984127
10,69,287,90,1.13651247342449,4396.92682926829,3868.78888888889,168.550522648084,94.0243902439024
11,70,357,234,3.46011813137039,18022.3949579832,5208.60683760684,350.717086834734,99.7366946778711
12,71,287,188,2.75323874990483,5779.92682926829,2099.31914893617,443.470383275261,114.390243902439
13,72,327,278,2.59087713821589,14100.1498470948,5442.23021582734,380.474006116208,114.22629969419
14,73,469,339,2.11894776057378,21272.3603411514,10039.1150442478,233.02132196162,118.547974413646
15,74,373,326,2.52316006219289,7070.69168900804,2802.31595092025,127.072386058981,122.30563002681
16,75,394,168,2.93858653398801,10913.0532994924,3713.70833333333,488.624365482233,120.507614213198
17,76,766,431,3.63070879197009,15459.2389033943,4257.9121017871,332.262402088773,127.797650130548
18,77,362,270,2.64328501743335,6980.58287292818,2640.87407407407,411.411602209945,127.041436464088
19,78,406,274,3.0796801954274,13723.0886699507,4456.01094890511,78.1379310344828,133.477832512315
20,79,342,188,2.18346372568917,4989.79532163743,2285.26595744681,189.286549707602,136.514619883041
21,80,413,135,2.76746762266934,7030.82324455206,2540.52592592593,463.677966101695,153.404358353511
22,81,414,318,2.9947063177106,16635.1980676328,5554.8679245283,385.014492753623,167.251207729469
23,82,373,183,2.27677159639216,11042.018766756,4849.85792349727,163.635388739946,168.691689008043
24,83,416,185,2.75392842265355,14399.8004807692,5228.82162162162,343.983173076923,172.461538461538
25,84,373,207,1.80479967792063,21919.5013404826,12145.115942029,128.729222520107,178.064343163539
26,85,402,191,3.09355309140826,7786.1815920398,2516.9057591623,439.283582089552,185.495024875622
27,86,423,161,1.67345536135966,24874.011820331,14863.8633540373,229.193853427896,193.666666666667
28,87,381,312,2.5700719390983,9857.41207349081,3835.46153846154,181.648293963255,202.679790026247
29,88,497,101,2.17308814535715,18783.1509054326,8643.52923076923,290.494969818913,211.744466800805
30,89,255,169,1.73672420404163,4951.81176470588,2851.23668639053,382.921568627451,205.113725490196
31,90,554,571,2.35334959679802,23069.7129963899,9802.92644483363,58.2689530685921,212.805054151625
32,91,365,188,2.32533490627799,6457.38082191781,2776.96808510638,145.649315068493,217.230136986301
33,92,328,152,2.26145539666137,3989.9512195122,1764.32894736842,475.960365853659,218.19512195122
34,93,292,293,2.54724928065747,5858.53424657534,2299.94539249147,325.195205479452,219.030821917808
35,94,340,234,2.48996239148611,19879.2,7983.73504273504,95.7235294117647,222.102941176471
36,95,290,120,2.76656255176735,4635.88275862069,1675.68333333333,441.41724137931,221.562068965517
37,96,340,295,3.16509398722668,4359.11764705882,1377.24745762712,308.320588235294,255.685294117647
38,97,329,221,2.09020277070626,15586.367781155,7456.86877828054,237.279635258359,255.109422492401
39,98,517,352,2.30867651350097,11976.0560928433,5187.41193181818,165.506769825919,266.816247582205
40,99,627,359,2.08509704165329,12003.8213716108,5756.96053076403,80.6236044657097,286.405103668262
41,100,303,255,2.85075639447975,5872.6699669967,2060.03921568627,291.778877887789,288.39603960396
42,101,704,476,2.62783023910802,11676.0823863636,4443.24074386438,154.194602272727,305.732954545455
43,102,389,366,2.86000417207392,16566.3084832905,5792.40710382514,347.565552699229,328.686375321337
44,103,440,294,3.18061917402805,15916.5431818182,5004.22789115646,169.536363636364,339.1
45,104,523,481,2.73645938356298,11615.8661567878,4244.85239085239,64.3193116634799,347.068833652008
46,105,280,242,2.57866673619648,6173.90357142857,2394.22314049587,117.135714285714,339.642857142857
47,106,323,190,2.77346412678438,2996.78637770898,1080.52105263158,472.863777089783,347.15479876161
48,107,382,325,2.76248192371536,19477.8010471204,7050.83384615385,259.835078534031,368.321989528796
49,108,942,448,2.91302122360585,8693.52441613588,2984.36700209644,369.084925690021,389.687898089172
50,109,402,74,2.03875299943918,12688.1517412935,6223.48648648649,446.310945273632,405.174129353234
51,110,279,36,1.54867252757744,5697.99641577061,3679.27777777778,242.795698924731,403.293906810036
52,111,408,207,3.01967305433499,21482.9460784314,7114.32850241546,408.955882352941,415.970588235294
53,112,389,34,2.45594942985512,8874.57326478149,3613.5,183.07969151671,433.539845758355
54,113,505,296,2.79962834699243,13827.5346534653,4939.06081081081,223.358415841584,444.188118811881
55,114,395,146,2.33234311953191,16529.7949367089,7087.20547945205,263.26835443038,441.091139240506
56,115,460,366,3.14462846301438,10872.9739130435,3457.63387978142,119.50652173913,450.897826086957
57,116,806,422,3.378091116167,19974.0719602978,5912.82806573957,418.129032258065,471.970223325062
58,117,407,342,3.22120951859964,14388.9828009828,4466.95029239766,187.737100737101,474.130221130221
59,118,141,396,0.996930722155375,23985.1914893617,24059.0353535354,27.1702127659574,499.290780141844
