"CellID","vacuoles","cell_area","vac_area","PM_vac_ratio","cell_mpi","vac_mpi","pm_center_x","pm_center_y"
1,57,707,444,1.5864448607661,6049.25884016973,3813.09113841405,187.562942008487,44.3818953323904
2,58,368,97,1.45663855114617,11740.5217391304,8060.01030927835,269.461956521739,31.1005434782609
3,59,374,248,1.54637897351862,11435.7219251337,7395.16129032258,59.2647058823529,43.8903743315508
4,60,302,172,1.60072659906408,6167.35761589404,3852.8488372093,482.523178807947,49.4801324503311
5,61,568,273,1.06034524879341,12966.9348591549,12228.9743589744,234.846830985915,57.362676056338
6,62,380,213,1.55639714231187,14847.5026315789,9539.66197183099,120.634210526316,64.571052631579
7,63,148,203,1.13177922749405,11401.4324324324,10073.9014778325,357.783783783784,58.3445945945946
8,64,405,227,1.03515197726477,13586.6296296296,13125.2511013216,42.6098765432099,78.7876543209877
9,65,119,151,1.11340573551133,7336.85714285714,6589.56291390728,391.226890756303,68.5714285714286
10,66,828,420,1.31395414804962,22243.3128019324,16928.5304475422,290.390096618357,96.4251207729469
11,67,129,232,1.12164716109984,17597.0775193798,15688.6034482759,286.860465116279,80.062015503876
12,68,493,204,2.12176040308201,14181.9817444219,6684.0637254902,365.369168356998,99.4868154158215
13,69,450,178,1.48562546297253,13329.04,8972.00561797753,471.144444444444,98.2244444444444
14,70,105,178,1.03524657593024,9288.2380952381,8972.00561797753,473.009523809524,98.3619047619048
15,71,407,228,0.883869137964563,15075.3611793612,17056.100877193,260.540540540541,114.452088452088
16,72,367,379,1.10242531839426,3631.74386920981,3294.32189973615,145.010899182561,118.558583106267
17,73,361,208,1.47694040478252,9042.24099722992,6122.27884615385,49.7091412742382,115.847645429363
18,74,466,186,1.42449909136902,3984.21673819743,2796.9247311828,436.135193133047,127.864806866953
19,75,240,109,1.36132006015124,4787.9375,3517.12844036697,20.3625,122.658333333333
20,76,335,157,1.64203931980285,12403.1701492537,7553.51592356688,82.5253731343284,127.913432835821
21,77,683,461,1.4526402728637,9969.8682284041,6863.27400847131,120.96925329429,169.159590043924
22,78,586,453,1.32013373841031,3395.7133105802,2572.24947123105,347.569965870307,158.735494880546
23,79,374,227,0.867796211448925,3929.79411764706,4528.47577092511,264.874331550802,157.767379679144
24,80,734,312,1.30357095053658,7022.11580381471,5386.83053724406,215.076294277929,178.877384196185
25,81,500,251,0.914340134611594,6320.48,6912.61354581673,430.194,174.306
26,82,352,160,1.39079405522556,3375.61363636364,2427.1125,169.210227272727,193.181818181818
27,83,882,398,0.819989679440415,9746.86167800454,11886.5662853904,308.867346938775,221.34693877551
28,84,420,215,1.141888295501,8027.30476190476,7029.8511627907,424.157142857143,213.938095238095
29,85,226,134,1.67668642417775,2569.80973451327,1532.67164179104,486.314159292035,229.451327433628
30,86,280,110,1.27080748266893,4047.41785714286,3184.91818181818,218.903571428571,232.978571428571
31,87,228,134,1.21113881709941,4946.39035087719,4084.08208955224,28.5394736842105,264.521929824561
32,88,356,162,0.956529969436826,9555.01404494382,9989.24691358025,152.676966292135,273.884831460674
33,89,139,162,1.08395407439233,10827.8848920863,9989.24691358025,151.251798561151,276.223021582734
34,90,548,267,1.34618085178862,4021.18795620438,2987.10827067669,195.71897810219,300.485401459854
35,91,144,54,1.05673846990641,3130.11805555556,2962.05555555556,309.180555555556,284.180555555556
36,92,504,139,2.04837136986548,7373.02182539683,3599.45561330561,350.551587301587,302.619047619048
37,93,289,130,1.32788273918768,6165.55363321799,4643.14615384615,291.36678200692,305.252595155709
38,94,636,169,1.11528797081814,4351.48113207547,3901.66597859327,402.382075471698,327.284591194969
39,95,623,368,1.4163736407904,7119.8025682183,5026.78273809524,111.592295345104,345.630818619583
40,96,945,302,1.0251024942853,12979.0042328042,12661.1771068348,316.520634920635,352.718518518519
41,97,333,108,1.58976078098065,8904.29429429429,5601.02777777778,421.066066066066,386.405405405405
42,98,492,87,0.724145417329802,9290.21138211382,12829.2068965517,31.8292682926829,388.083333333333
43,99,346,106,0.978405984590649,7697.52601156069,7867.41509433962,227.35549132948,386.869942196532
44,100,403,97,1.46697815371485,3046.19602977668,2076.51083423619,264.736972704715,403.106699751861
45,101,241,86,1.3264253217204,3648.76348547718,2750.82466063348,86.6265560165975,397.070539419087
46,102,412,161,1.59382867078459,11744.8640776699,7368.96273291925,128.71359223301,402.483009708738
47,103,275,100,1.33695439609322,4853.96,3630.61,382.541818181818,418.396363636364
48,104,682,169,1.62502656571231,7259.65835777126,4467.40903253425,84.4970674486804,445.007331378299
49,105,456,162,1.5301077126176,11910.1600877193,7783.87037037037,315.978070175439,429.583333333333
50,106,254,85,1.36674772735514,3875.61417322835,2835.64705882353,182.677165354331,432.976377952756
51,107,285,164,1.55801912094105,6582.91578947368,4225.18292682927,241.824561403509,438.164912280702
52,108,309,132,1.48205468010401,12359.359223301,8339.34090909091,47.8155339805825,441.242718446602
53,109,220,83,0.897792273728303,8202.46818181818,9136.26506024096,145.072727272727,451.122727272727
54,110,257,137,1.20235487590476,14931.0622568093,12418.1824817518,115.607003891051,459.424124513619
55,111,243,40,1.40643858054052,3794.71193415638,2698.1,163.065843621399,477.633744855967
56,112,119,30,0.941538936510932,2778.04201680672,2950.53333333333,136.386554621849,491.436974789916
