"CellID","vacuoles","cell_area","vac_area","PM_vac_ratio","cell_mpi","vac_mpi","pm_center_x","pm_center_y"
1,48,448,336,2.23732766112183,23768.7165178571,10623.7083333333,204.977678571429,40.0200892857143
2,49,422,309,2.76215544628931,16058.8767772512,5813.8932038835,466.791469194313,44.2890995260664
3,50,344,283,2.39495837351404,13606.0377906977,5681.11660777385,291.122093023256,46.7238372093023
4,51,597,295,2.90912344380222,9871.17755443886,3393.1793356755,113.023450586265,61.6884422110553
5,52,258,232,1.90285068897293,5321.03488372093,2796.34913793103,260.089147286822,65.4147286821705
6,53,412,312,2.85514304914742,20902.4199029126,7320.97115384615,368.691747572816,68.1674757281553
7,54,562,381,2.33571417162737,4050.30960854093,1734.07759294407,216.788256227758,84.8202846975089
8,55,238,106,1.77875457296921,6874.8025210084,3864.95283018868,288.264705882353,78.7689075630252
9,56,377,253,3.03500458691427,7836.40583554377,2582.00790513834,332.230769230769,126.644562334218
10,57,203,73,2.27554460293922,3108.20689655172,1365.91780821918,251.290640394089,126.605911330049
11,58,365,217,2.99961872563408,6375.62739726027,2125.47926267281,293.030136986301,133.624657534247
12,59,747,518,2.88336412856927,13984.4979919679,4850.0631097561,191.360107095047,144.34672021419
13,60,320,366,3.22554399849882,11130.85,3450.84426229508,136.875,140.053125
14,61,274,123,2.20756631542346,6014.61313868613,2724.54471544715,469.547445255474,148
15,62,745,608,2.78463032246984,4082.5744966443,1466.11004832528,239.15033557047,170.795973154362
16,63,571,662,2.65112288039252,5126.2942206655,1933.63131470787,43.1155866900175,183.989492119089
17,64,594,298,3.11517656703907,8491.12457912458,2725.72818791946,160.316498316498,179.73569023569
18,65,921,617,2.73345711138902,21637.5016286645,7915.80066813973,96.956568946797,215.630836047774
19,66,433,134,2.64913717450238,12009.5866050808,4533.39552238806,463.524249422633,203.325635103926
20,67,375,314,3.06285811582565,11503.344,3755.75477707006,205.325333333333,222.197333333333
21,68,401,266,3.24201019163008,12489.7955112219,3852.48496240602,244.935162094763,230.124688279302
22,69,426,366,3.03248775965414,14611.7605633803,4818.40710382514,307.30985915493,232.579812206573
23,70,384,264,3.37805116715054,12005.7473958333,3554.04545454545,349.596354166667,233.802083333333
24,71,545,369,2.18245860148118,4351.38899082569,1993.80138888889,424.001834862385,250.62752293578
25,72,291,209,2.35429902145596,5995.98281786942,2546.82296650718,39.1408934707904,248.072164948454
26,73,277,172,2.1976264512414,4097.81949458484,1864.65697674419,491.797833935018,251.592057761733
27,74,1166,810,3.21430943315292,16118.9176672384,5014.73738059728,226.867924528302,297.06346483705
28,75,373,121,1.31099413849794,21332.1715817694,16271.7520661157,39.1474530831099,280.713136729223
29,76,351,62,3.28572762730631,8432.66096866097,2566.45161290323,331.472934472934,299.219373219373
30,77,283,198,2.27313546601334,5784.81978798587,2544.86363636364,130.137809187279,320.936395759717
31,78,392,285,2.65033146934145,5303.51785714286,2001.07719298246,93.0433673469388,329.632653061225
32,79,377,249,2.41183405854013,21589.4986737401,8951.4859437751,175.838196286472,340.04774535809
33,80,415,106,2.42023679220828,17182.0144578313,7099.31132075472,398.06265060241,368.390361445783
34,81,870,504,3.32856369779542,10743.2747126437,3227.60075757576,163.501149425287,386.393103448276
35,82,548,278,2.87973286421345,6458.55474452555,2242.76175918477,276.892335766423,379.193430656934
36,83,373,223,2.41542973836064,23187.6380697051,9599.79820627803,55.6729222520107,379.504021447721
37,84,454,212,2.07118509382419,22843.4911894273,11029.1886792453,20.3678414096916,387.431718061674
38,85,387,272,2.77251980140329,9739.60723514212,3512.90808823529,326.790697674419,397.806201550388
39,86,297,214,2.31097524521068,4900.07744107744,2120.35046728972,102.265993265993,402.121212121212
40,87,522,365,2.44355422109089,27120.1781609195,11098.6602739726,46.5210727969349,420.503831417624
41,88,410,212,3.36005267861484,17435.0756097561,5188.92924528302,321.6,436.063414634146
42,89,332,270,2.46173949570028,10508.1265060241,4268.57777777778,119.957831325301,438.060240963855
43,90,303,175,3.19403271167511,5066.35643564356,1586.19428571429,203.105610561056,442.42904290429
44,91,419,203,2.83625277299182,12653.0405727924,4461.18226600985,370.55369928401,455.054892601432
45,92,456,244,3.41842999924098,12195.1929824561,3567.48360655738,300.934210526316,477.84649122807
46,93,399,234,2.9930171048923,9355.00751879699,3125.61111111111,403.260651629073,482.634085213033
47,94,354,228,2.365370369216,21156.0593220339,8944.07894736842,50.045197740113,485.11581920904
