"CellID","vacuoles","cell_area","vac_area","PM_vac_ratio","cell_mpi","vac_mpi","pm_center_x","pm_center_y"
1,41,792,800,1.85889836398102,0.225152127824364,0.121121268481929,431.546717171717,51.2171717171717
2,42,304,492,0.708926870365098,0.0578543305505696,0.0816083195164751,83.6677631578947,73.2828947368421
3,43,240,492,1.0077999023302,0.0822448564380357,0.0816083195164751,85.4458333333333,72.375
4,44,392,333,1.22532880277331,0.111989192564185,0.0913952176025877,339.219387755102,80.7755102040816
5,45,473,346,3.06733500727351,0.0596610335712999,0.0194504458853783,220.913319238901,91.2241014799154
6,46,204,333,1.06934711707691,0.0977332124579442,0.0913952176025877,336.980392156863,80.5833333333333
7,47,647,556,2.81403473501773,0.189270879359508,0.0672596101974964,67.0618238021638,124.081916537867
8,48,1002,412,0.828586036905045,0.425250376640478,0.513224164661142,405.546906187625,123.652694610778
9,49,709,487,0.938057620106038,0.179455308875209,0.191305208794022,110.957686882934,123.953455571227
10,50,443,291,1.04990721149942,0.125494639450496,0.119529267039962,154.821670428894,132.916478555305
11,51,159,322,1.07610104289091,0.058804431642221,0.0546458272024763,278.22641509434,145.761006289308
12,52,371,369,1.28914189002716,0.13813647035791,0.107153814042146,66.4797843665768,174.835579514825
13,53,273,179,2.16073304099792,0.071291435859987,0.0329940971454121,109.948717948718,173.879120879121
14,54,400,510,0.961478011593125,0.104228389410239,0.108404340144542,256.205,189.485
15,55,266,234,2.6552168751069,0.0362289335148354,0.0136444347934391,480.751879699248,194.93984962406
16,56,339,134,1.30106862129308,0.171089599941305,0.131499289999989,332.489675516224,214.610619469027
17,57,207,320,1.16666761984271,0.121240816482987,0.103920614938582,298.497584541063,214.555555555556
18,58,1197,754,1.30357097895332,0.161860896997204,0.124167306276769,475.616541353383,279.685881370092
19,59,1308,787,1.531664916655,0.15875527212039,0.103648827099269,60.605504587156,266.518348623853
20,60,538,486,0.984789209479786,0.142045610861474,0.144239609343922,372.907063197026,253.838289962825
21,61,119,486,1.08581974659284,0.156618216066468,0.144239609343922,379.90756302521,254.689075630252
22,62,693,411,1.94025795470517,0.112728215131511,0.0580996020957639,222.310245310245,276.437229437229
23,63,614,246,2.30937877681461,0.167155825181313,0.0723812944240681,254.457654723127,299.112377850163
24,64,1434,996,0.799132545557316,0.145065573890856,0.181528802321131,121.541143654114,335.203626220363
25,65,236,292,1.05927621363358,0.213318151899684,0.2013810459955,85.6737288135593,301.258474576271
26,66,683,524,1.73473247253633,0.0571115475831821,0.0329223949440919,292.430453879941,343.474377745242
27,67,443,97,0.990002189548477,0.0877114067733179,0.0885971846318053,188.875846501129,336.424379232506
28,68,260,302,1.02273256778963,0.161987781044773,0.158387232543957,148.419230769231,334.253846153846
29,69,756,439,1.51579850108327,0.115099427867414,0.0759331981032823,243.123015873016,349.617724867725
30,70,394,256,2.71993459621864,0.290726310078042,0.10688724298085,343.352791878173,359.969543147208
31,71,134,372,1.02875307528293,0.110593291268537,0.10750227039479,223.388059701493,353.149253731343
32,72,264,105,3.02331966366323,0.0489083441418072,0.0161770337188053,460.280303030303,366.318181818182
33,73,698,429,0.604290975302288,0.129522163073473,0.214337410894944,178.080229226361,399.296561604585
34,74,362,479,0.965029035259817,0.161632959824513,0.167490255649143,141.875690607735,378.422651933702
35,75,556,305,2.67000706117842,0.144974183162054,0.0542973032805646,48.4478417266187,418.778776978417
36,76,861,576,1.75557901202722,0.250386371371806,0.142623242620495,93.5632984901278,445.998838559814
37,77,644,540,2.32443895269241,0.0758916457802881,0.0326494467374083,142.909937888199,442.608695652174
38,78,255,202,2.57121160122052,0.0476058145849322,0.0185149345788321,403.709803921569,432.349019607843
39,79,840,510,2.06398195637024,0.315402602026543,0.152812674090047,360.541666666667,468.164285714286
40,80,446,357,0.958492624992908,0.128847762517615,0.134427494962279,434.479820627803,454.643497757848
