"CellID","vacuoles","cell_area","vac_area","PM_vac_ratio","cell_mpi","vac_mpi","pm_center_x","pm_center_y"
1,50,221,116,1.98352010037175,0.0738650584624222,0.0372393798523032,430.393665158371,18.8597285067873
2,51,608,132,1.0092446255321,0.0519513729104175,0.0514755011779503,212.934210526316,65.6595394736842
3,52,344,282,0.859965650709492,0.0717262744388317,0.0834059760173628,78.8575581395349,49.1627906976744
4,53,419,140,2.11934049881497,0.0740386679638656,0.0349347676813916,377.55369928401,66.7756563245823
5,54,481,216,0.987673088725628,0.115185407426195,0.116623008909573,142.866943866944,62.4074844074844
6,55,324,157,1.6743655218037,0.188397538964666,0.11251876398035,426.268518518519,77.8549382716049
7,56,627,340,1.1070606903597,0.0669368998072423,0.0604636226271333,469.701754385965,96.0175438596491
8,57,1279,486,1.31075349717752,0.173140077045534,0.132092019909434,241.906176700547,116.37607505864
9,58,866,507,1.40212252533619,0.15647133180426,0.111596047404446,369.885681293303,131.577367205543
10,59,594,109,1.55237738394531,0.171024761487873,0.110169578130042,422.084175084175,128.301346801347
11,60,320,186,1.09306784980978,0.0753802357518883,0.0689620829713418,100.9625,129.0625
12,61,223,154,1.86087142104913,0.0371379959567013,0.0199573143725124,491.318385650224,133.632286995516
13,62,661,372,1.16406038499587,0.468188436685505,0.402202877720269,56.054462934947,139.17397881997
14,63,357,167,1.58170538370555,0.0859185514443818,0.0543201991530786,317.509803921569,132.915966386555
15,64,331,185,1.35510372684735,0.08595291784999,0.0634290321449855,193.821752265861,143.996978851964
16,65,311,148,1.6447411461171,0.190210724148531,0.115647817650564,131.469453376206,142.672025723473
17,66,557,209,1.29829181970781,0.103661987187627,0.079844905139244,464.032315978456,172.24236983842
18,67,360,210,1.71880245515752,0.2092483236269,0.121740763750377,275.091666666667,174.136111111111
19,68,340,185,1.17692298114981,0.119703526180442,0.101708886730631,73.9617647058824,175.626470588235
20,69,323,143,1.39835981861614,0.156038757915618,0.111586986295158,316.185758513932,197.916408668731
21,70,371,249,1.85501927060916,0.188838087176725,0.101798450381981,357.288409703504,215.008086253369
22,71,315,256,0.941773472963164,0.0960458545718331,0.101984030479896,117.203174603175,220.273015873016
23,72,321,174,1.51357223846501,0.119161647470484,0.0787287480849489,185.155763239875,221.348909657321
24,73,361,174,1.50519839404827,0.14590976845808,0.096937233679643,423.14404432133,250.659279778393
25,74,533,262,1.59083932376865,0.0794011363533886,0.0499114745072367,51.3602251407129,254.761726078799
26,75,298,83,1.31425648496028,0.177327090447596,0.134925786919709,170.704697986577,252.375838926175
27,76,560,207,0.934322364975747,0.190342592289834,0.203722611622141,298.596428571429,260.653571428571
28,77,233,125,1.35959287954597,0.0537588439293488,0.0395403982604715,191.892703862661,277.115879828326
29,78,630,310,1.67010318602431,0.0976126170312483,0.0584470575519443,177.925396825397,321.242857142857
30,79,512,189,0.809650110853301,0.093922528276875,0.116003847857056,247.849609375,310.796875
31,80,284,86,1.24256115257558,0.10670816690791,0.0858775978041203,321.542253521127,320.369718309859
32,81,246,152,1.82761255271645,0.0534351717973577,0.0292376913902977,360.833333333333,321.662601626016
33,82,407,69,1.28087721493194,0.191904620240624,0.14982280737254,416.859950859951,346.179361179361
34,83,326,75,0.953303585450452,0.0710777877788341,0.0745594466061392,469.076687116564,347.665644171779
35,84,935,267,1.28663030958048,0.126252184304505,0.0981262320376012,349.108021390374,397.151871657754
36,85,794,510,1.31242656214121,0.14237457285789,0.108481934886785,73.5705289672544,395.366498740554
37,86,440,193,0.910528625660874,0.176998862509277,0.194391321174344,232.636363636364,381.940909090909
38,87,258,176,0.957198751647853,0.0651984885288233,0.0681138461751874,104.748062015504,381.581395348837
39,88,610,116,0.936013818167339,0.32960785564465,0.352139946277719,194.344262295082,401.419672131148
40,89,522,282,1.45075359094067,0.156899577219859,0.108150397282922,139.616858237548,408.614942528736
41,90,367,143,0.911811368624804,0.102115910773389,0.111992364086665,265.149863760218,412.013623978202
42,91,572,107,1.20720136418512,0.228148093609298,0.188989260928561,416.281468531469,434.725524475524
43,92,323,161,1.58577000923856,0.0725768685038435,0.0457675880367373,111.857585139319,432.876160990712
44,93,369,221,1.48627681773731,0.187352297113419,0.126054779888609,57.189701897019,451.493224932249
45,94,688,331,1.58443930579247,0.0884869127272663,0.0558474612462413,296.530523255814,457.529069767442
46,95,400,114,1.30158894740692,0.0571619745174334,0.0439170712315235,360.59,471.15
47,96,207,55,1.05421907963624,0.0965189895578901,0.0915549636904638,88.1690821256039,460.173913043478
48,97,247,115,1.05342619807467,0.0582332461962872,0.0552798537787641,155.145748987854,475.368421052632
49,98,325,101,1.19341393421926,0.182358598752282,0.152804147432367,44.2369230769231,485.870769230769
