"V1","V2","V3","V4","V5","V6","V7","V8","V9","V10","V11","V12","V13","V14","V15","V16","V17","V18","V19","V20","V21","V22","V23","V24","V25","V26","V27","V28","V29","V30","V31","V32","V33","V34","V35","V36","V37","V38","V39","V40","V41","V42","V43","V44","V45","V46"
"9ArrD 316 Git1GFPA_003","9ArrD 316 Git1GFPA_004","9ArrD 316 Git1GFPA_005","9ArrD 316 Git1GFPA_006","9ArrD 316 Git1GFPA_008","9ArrD Aiy1 Git1GFPA_003","9ArrD Aiy1 Git1GFPA_004","9ArrD Aiy1 Git1GFPA_005","9ArrD Aiy1 Git1GFPA_006","9ArrD Aiy1 Git1GFPA_007","9ArrD Aiy1 Git1GFPA_008","9ArrD Aly2 Git1GFPA_003","9ArrD Aly2 Git1GFPA_004","9ArrD Aly2 Git1GFPA_008","9ArrD Csr2 Git1GFPA_002","9ArrD Csr2 Git1GFPA_003","9ArrD Csr2 Git1GFPA_004","9ArrD Csr2 Git1GFPA_006","9ArrD Csr2 Git1GFPA_007","9ArrD Ecm21 Git1GFPA_003","9ArrD Ecm21 Git1GFPA_006","9ArrD Ecm21 Git1GFPA_007","9ArrD Ldb19 Git1GFPA_003","9ArrD Ldb19 Git1GFPA_005","9ArrD Ldb19 Git1GFPA_008","9ArrD Rod1 Git1GFPA_002","9ArrD Rod1 Git1GFPA_005","9ArrD Rod1 Git1GFPA_008","9ArrD Rod1 Git1GFPA_011","9ArrD Rog3 Git1GFPA_003","9ArrD Rog3 Git1GFPA_005","9ArrD Rog3 Git1GFPA_006","9ArrD Ylr392c Git1GFPA_003","9ArrD Ylr392c Git1GFPA_005","9ArrD Ylr392c Git1GFPA_007","9ArrDYgr068c Git1GFPA_005","9ArrDYgr068c Git1GFPA_006","9ArrDYgr068c Git1GFPA_007","WT 316 Git1GFPA_002","WT 316 Git1GFPA_003","WT 316 Git1GFPA_004","WT 316 Git1GFPA_005","WT 316 Git1GFPA_006","WT 316 Git1GFPA_007","WT 316 Git1GFPA_008","WT 316 Git1GFPA_009"
" 3905.157"," 2658.436"," 1371.359"," 1822.743"," 7180.673"," 5067.256","11798.777"," 6488.892"," 1519.169"," 5745.804"," 1496.637"," 5703.769"," 3879.262"," 7833.351"," 7956.731"," 1841.507","17865.229"," 1660.028"," 3122.737"," 3845.744"," 1761.988"," 1842.057"," 2665.682"," 4803.898"," 5174.630"," 1072.631"," 4752.488"," 1784.883"," 3766.067"," 2600.740"," 6081.214"," 5469.849"," 1365.918"," 4005.483"," 1652.397"," 2311.162"," 1564.784"," 3868.789"," 4505.482"," 3747.859"," 9292.146","16928.530","10957.390"," 2070.033"," 7219.963"," 3597.538"
" 4103.987"," 4409.925"," 9175.627"," 4864.462"," 2204.192"," 3965.524"," 3584.503"," 1451.364"," 1995.059"," 6107.071"," 6847.770","17242.050"," 6354.427"," 3581.214"," 4119.799"," 2319.731","20160.935"," 1355.645"," 6047.723"," 5886.276"," 6102.855"," 3557.677"," 1166.302"," 4115.630"," 1137.282"," 1663.832"," 3623.443"," 1035.708"," 7001.359"," 9203.791"," 1946.370"," 4791.739"," 2125.479"," 2380.481"," 1688.752"," 3850.433"," 1306.189"," 5208.607"," 2650.640"," 2838.017"," 9292.146","15688.603"," 2690.474"," 2710.871"," 4519.430","15283.604"
" 5095.630"," 2322.336"," 1891.837"," 4234.907"," 4314.611"," 7290.055"," 2552.029"," 1789.141"," 5315.752","10503.870"," 4539.335","14223.468"," 2722.056"," 7022.325"," 2154.606"," 9640.096"," 1658.473"," 1016.977"," 2090.090"," 7191.598"," 2136.467"," 4389.690"," 2269.274"," 2920.402"," 2230.305"," 6484.549"," 1881.558"," 1471.016"," 5012.880"," 9123.316"," 1982.673"," 3002.920"," 4850.063"," 3128.952"," 3351.483"," 5748.454"," 2054.812"," 2099.319"," 5028.353"," 5110.043"," 3694.328"," 6684.064"," 2252.337"," 3147.824"," 1307.903","16585.190"
" 3285.895"," 3500.208"," 6434.805"," 3486.384"," 1719.852"," 5572.411"," 3087.094"," 9597.978"," 7171.560"," 1801.103"," 1751.142"," 4587.701"," 2911.721"," 2162.268"," 2082.554"," 9640.096"," 6333.897"," 2897.546"," 2933.313"," 3892.400"," 4146.165"," 3642.279"," 3655.725"," 3006.132"," 3507.672"," 9259.111"," 2783.793"," 3984.111"," 4671.827"," 2563.917"," 1832.905"," 2830.087"," 3450.844"," 8941.981"," 2787.849"," 7107.866"," 1499.838"," 5442.230"," 4637.457"," 2613.884"," 3023.298"," 8972.006"," 3563.910"," 3055.465","26358.366"," 3310.518"
" 4217.280"," 2621.550"," 4143.548"," 3590.201"," 4850.086","31181.926"," 2894.900"," 5057.010"," 2650.365","10503.870"," 4994.676"," 3353.448","14714.714"," 7104.278"," 1921.266","11597.333"," 2268.586"," 4106.776"," 1003.957"," 2405.648"," 3227.333"," 8181.560"," 3022.149"," 1731.711"," 3417.012"," 4069.642"," 7806.764"," 3078.067"," 1491.343"," 1348.596"," 1138.376"," 1320.942"," 2724.545"," 2129.037"," 4707.721"," 4348.291"," 3586.805","10039.115"," 9100.034"," 7564.918"," 2045.483"," 8972.006"," 5196.548"," 2548.464"," 3559.874"," 6796.432"
" 4745.037"," 5891.201"," 4051.074"," 5258.348"," 3207.684","10570.000","11362.432"," 1608.317"," 5067.875"," 2587.872"," 4430.720","11309.412","12305.167","  894.188"," 3691.739"," 8438.666"," 4710.647"," 6781.925"," 6287.167"," 5951.882"," 2596.021"," 2041.201"," 2930.076"," 1577.531"," 1075.767"," 1872.819"," 9166.318"," 2921.799"," 3041.551"," 1560.822"," 2819.598"," 4152.453"," 1466.110"," 2501.913"," 2014.136"," 3336.298"," 1827.571"," 2802.316"," 5932.609"," 2549.429"," 3172.375","17056.101"," 3521.208"," 2185.115"," 4156.822"," 3556.239"
" 6915.4167","14479.8840"," 2983.0745"," 3030.9889"," 3985.2049"," 2759.2472"," 5165.3026","16336.0979"," 7290.4302"," 3405.6456"," 7312.9552"," 2384.2155","11614.0957"," 8617.8060"," 1003.7719","12361.4539"," 1593.4519"," 5707.5375"," 2564.6176"," 7918.3657"," 1568.5857"," 3431.5017"," 1244.5704"," 4390.0750"," 8388.9857","  661.6429"," 1540.2253"," 2040.8106"," 3648.2649"," 1050.2912"," 9682.9835"," 4190.2122"," 1933.6313"," 6443.5924"," 3760.3871"," 3102.9743"," 1262.5540"," 3713.7083"," 7866.8654"," 3801.0913","11524.8505"," 3294.3219"," 1826.6526","18387.9278"," 7578.9797"," 7960.1842"
" 4795.3922"," 2125.1169"," 8593.6479"," 5443.8782"," 4182.0292"," 7427.2243"," 4562.3131","16336.0979"," 6402.1061","13793.2357"," 2272.8352"," 4350.3606","14017.8965"," 6810.4375"," 2205.3623","10002.1455","  965.6443"," 1316.4225"," 3050.8990"," 2397.4465"," 2513.0500","  835.2037"," 3529.5236"," 2575.7183"," 5306.7870"," 6809.6518"," 2211.9379"," 2517.0219"," 1356.2059"," 2820.5049"," 5514.1842"," 1874.2043"," 2725.7282"," 3307.1597"," 5332.9046"," 2411.1333"," 2580.7140"," 4257.9121"," 2723.3592"," 6371.0429"," 2902.2650"," 6122.2788"," 8694.0134"," 4005.1037"," 5232.6359"," 5758.2542"
" 3647.0481","10201.0040","10769.8550"," 6254.9968"," 8590.9952"," 5291.2833"," 3328.3385"," 2093.7007"," 1760.5514"," 1288.3512"," 2867.0000"," 3118.1622","16067.3833"," 8137.3044"," 4265.2407"," 1363.4646"," 1950.0342"," 6307.3684","  879.6495"," 2043.6392"," 4943.5055"," 2336.6148"," 1522.2791"," 2015.3318"," 8132.6609"," 8214.1000","13318.5054"," 3682.9138"," 5665.4192"," 2017.7624"," 1736.3991"," 5208.8448"," 7915.8007"," 2472.2341"," 1704.0186"," 4888.2757"," 1986.4238"," 2640.8741","15559.4615"," 3524.3231"," 4208.7358"," 2796.9247"," 4446.3429"," 1828.7865"," 7978.2810"," 3751.0000"
" 2445.9039","13494.0476"," 1320.2712"," 4883.4558"," 2144.1481","12915.9332"," 7160.4648"," 2091.5202"," 4555.0986"," 8433.3558"," 2233.8640"," 8343.9429","14017.8965"," 6792.6259","  993.0843","10002.1455"," 7005.1146"," 3120.3499"," 3291.2681"," 8095.7500"," 5853.8225"," 4085.7647"," 2627.1562"," 1376.0828"," 2624.7163"," 6500.7229"," 5261.7647"," 7083.1288"," 5363.7848"," 4586.5729"," 4652.3741","  986.5423"," 4533.3955"," 1379.9361"," 5698.7629"," 1094.0000"," 1683.1959"," 4456.0109","10423.4276"," 6022.2500"," 8199.6492"," 3517.1284"," 1598.3232"," 4709.5659"," 6665.4919"," 1879.7254"
