"V1","V2","V3","V4","V5","V6","V7","V8","V9","V10","V11","V12","V13","V14","V15","V16","V17","V18","V19","V20","V21","V22","V23","V24","V25","V26","V27","V28","V29","V30","V31","V32","V33","V34","V35","V36","V37","V38","V39","V40","V41","V42","V43","V44","V45","V46"
"9ArrD 316 Git1GFPA_003","9ArrD 316 Git1GFPA_004","9ArrD 316 Git1GFPA_005","9ArrD 316 Git1GFPA_006","9ArrD 316 Git1GFPA_008","9ArrD Aiy1 Git1GFPA_003","9ArrD Aiy1 Git1GFPA_004","9ArrD Aiy1 Git1GFPA_005","9ArrD Aiy1 Git1GFPA_006","9ArrD Aiy1 Git1GFPA_007","9ArrD Aiy1 Git1GFPA_008","9ArrD Aly2 Git1GFPA_003","9ArrD Aly2 Git1GFPA_004","9ArrD Aly2 Git1GFPA_008","9ArrD Csr2 Git1GFPA_002","9ArrD Csr2 Git1GFPA_003","9ArrD Csr2 Git1GFPA_004","9ArrD Csr2 Git1GFPA_006","9ArrD Csr2 Git1GFPA_007","9ArrD Ecm21 Git1GFPA_003","9ArrD Ecm21 Git1GFPA_006","9ArrD Ecm21 Git1GFPA_007","9ArrD Ldb19 Git1GFPA_003","9ArrD Ldb19 Git1GFPA_005","9ArrD Ldb19 Git1GFPA_008","9ArrD Rod1 Git1GFPA_002","9ArrD Rod1 Git1GFPA_005","9ArrD Rod1 Git1GFPA_008","9ArrD Rod1 Git1GFPA_011","9ArrD Rog3 Git1GFPA_003","9ArrD Rog3 Git1GFPA_005","9ArrD Rog3 Git1GFPA_006","9ArrD Ylr392c Git1GFPA_003","9ArrD Ylr392c Git1GFPA_005","9ArrD Ylr392c Git1GFPA_007","9ArrDYgr068c Git1GFPA_005","9ArrDYgr068c Git1GFPA_006","9ArrDYgr068c Git1GFPA_007","WT 316 Git1GFPA_002","WT 316 Git1GFPA_003","WT 316 Git1GFPA_004","WT 316 Git1GFPA_005","WT 316 Git1GFPA_006","WT 316 Git1GFPA_007","WT 316 Git1GFPA_008","WT 316 Git1GFPA_009"
"11247.334"," 8658.814"," 3317.650"," 4371.969","14575.178"," 8951.743","22704.079","17711.451"," 2662.518"," 5740.457"," 3729.428"," 4994.444"," 8324.886"," 8224.291","18932.172"," 5575.140","26560.411"," 4372.016"," 8419.487","12394.220"," 4127.854"," 4262.178"," 7415.801","14631.343","15876.969"," 3167.123","11622.532"," 3657.200","12854.260"," 7076.680","15545.230","11159.346"," 3108.207","10201.578"," 4418.327"," 7146.938"," 5016.576"," 4396.927"," 6389.882"," 5505.343","10158.242","22243.313","16629.257"," 2900.806","11208.108"," 6501.106"
"10115.896","12019.774","22206.171","13490.303"," 6286.470"," 9606.712"," 9704.833"," 2657.451"," 4082.424","10518.568","18903.344","22245.259"," 6492.117"," 3853.748","12978.085"," 6201.024","20158.054"," 4240.978","17150.079","17104.884","15531.136"," 8839.415"," 3008.346","11249.604"," 3539.662"," 6064.243","10261.420"," 2770.155","16765.993","22276.818"," 4311.125","11076.563"," 6375.627"," 7774.858"," 3478.007","10784.777"," 3492.833","18022.395"," 2875.860"," 4942.353","10894.351","17597.078"," 3184.830"," 4471.984"," 4940.044","20769.260"
"11703.742"," 4719.704"," 5149.463"," 8978.626","10328.686"," 8397.561"," 6175.751"," 4529.540","11200.496","18730.592"," 6450.610","14050.404"," 7312.117"," 9052.774"," 4150.725","18519.988"," 4753.430"," 3144.078"," 3236.454","20174.147"," 5337.076","14998.950"," 5061.987"," 8571.205"," 4554.936","18110.947"," 4590.610"," 3400.004","14468.868","13034.579"," 6058.889"," 9290.938","13984.498"," 9381.971","10408.371","16930.201"," 5721.528"," 5779.927"," 6308.617"," 8522.707"," 3849.295","14181.982"," 2437.348"," 4447.960"," 2433.839","24031.722"
"10968.311","10874.037","15319.916"," 9129.257"," 2618.985","14442.028"," 8181.852","20269.052","12206.068"," 3895.696"," 3873.340"," 6021.906"," 5375.568"," 4672.084"," 5833.536","10293.743","17805.049"," 8342.134"," 8257.893"," 7510.996","14542.346","12133.670"," 7672.157"," 8079.592"," 9517.630"," 9168.576"," 7597.735","11386.869","14315.851"," 8360.070"," 5381.129"," 6254.980","11130.850","23462.270"," 5326.377","22263.115"," 4440.797","14100.150"," 8300.182"," 3474.764"," 7235.662","13329.040"," 4647.634"," 3511.904","30682.729"," 4238.220"
"12750.141"," 7745.934","10713.067","11947.603","13437.301","29751.743"," 5782.542","13192.363"," 3630.349","11450.824","11879.585"," 3818.039","11159.557"," 6830.608"," 3439.293","10343.701"," 7742.162","14098.287"," 3655.781"," 8854.137"," 8552.852","17996.452"," 5935.587"," 6312.215"," 8273.619","12059.126","19287.108"," 8456.891"," 4032.847"," 4053.758"," 3221.529"," 2332.402"," 6014.613"," 7220.427","15131.606","14896.400","12182.282","21272.360","14746.024"," 7887.000"," 2951.520"," 9288.238"," 9258.319"," 3693.866"," 5630.672"," 9071.140"
"12391.741","14392.099","10213.941"," 7540.805","10789.020","18204.463","23876.323"," 2696.177"," 7924.239"," 6342.993"," 9971.394","10185.291","15042.811"," 2374.263","11462.693","12138.623","14724.214","18229.626","13118.175","18112.151"," 6993.731"," 5826.763"," 5580.329"," 3745.438"," 2659.990"," 5519.196","20452.254"," 6444.779"," 7076.388"," 3630.453"," 8559.401","14734.671"," 4082.574"," 7121.559"," 6299.543","10719.982"," 5989.206"," 7070.692"," 8671.475"," 3280.761"," 2836.077","15075.361"," 6293.606"," 2715.468"," 5632.924"," 6542.494"
" 5993.759","23315.091"," 7598.748"," 8149.321"," 8688.033"," 8212.022","11983.337","20418.141","14172.680"," 8660.231","12302.056"," 2872.121","15151.624","11212.357"," 2636.604","12984.460"," 6209.560","12475.765"," 7605.325","18437.469"," 4063.703"," 9937.696"," 3016.102","14048.939","20808.765"," 2618.776"," 4327.691"," 4643.077"," 6762.056"," 2889.900","23447.759","15933.168"," 5126.294","20979.345"," 8792.077"," 7985.330"," 3753.724","10913.053","10785.028"," 5053.615","11714.178"," 3631.744"," 2459.989","20378.573","12465.460"," 9428.633"
"14574.034"," 4341.682","13245.209","13202.993","12607.062","18245.098","11644.242","17476.662","14070.552","18030.229"," 4006.510"," 9411.575"," 9499.243"," 7945.517"," 6031.795"," 9633.024"," 2977.391"," 3675.539","11357.709"," 7408.680"," 6930.012"," 2044.208"," 9054.946"," 7103.390","14531.714","18344.137"," 4744.322"," 5037.006"," 3216.888"," 4263.182","18825.094"," 5873.952"," 8491.125"," 8566.297","14911.947"," 5484.646"," 6598.344","15459.239"," 3617.297"," 8095.823"," 3161.550"," 9042.241"," 9562.899"," 3825.919"," 6793.488"," 7335.795"
" 9446.046","23226.314","23871.015","16928.654","23793.451","10305.316"," 8812.447"," 4823.681"," 3859.892"," 2591.507"," 3121.653"," 3455.574","22005.220","10607.554","12013.105"," 4056.123"," 7315.789","14641.645"," 2057.269"," 6862.975","16064.810"," 4816.383"," 2385.197"," 8175.695","23166.558","24087.811","24226.450"," 8817.434","14506.652"," 6156.689"," 5012.866","16710.919","21637.502"," 7920.295"," 3503.931","16801.632"," 5023.040"," 6980.583","16630.820"," 3703.225"," 8152.839"," 3984.217"," 7039.083"," 2651.094","13713.089"," 5212.195"
" 4747.875","23522.237"," 2523.991","11830.866"," 6579.969","23426.596","12359.366"," 4937.486"," 6691.576","18112.616"," 3747.287"," 5514.157","13945.529","10404.027"," 3492.958","10928.640","17524.391"," 8948.523"," 7790.221","21088.129","14871.084","14643.744"," 7324.041"," 3139.827"," 5631.407","10324.131","10314.006","16536.431","15715.732","11388.006","15170.321"," 3386.668","12009.587"," 4039.375","17557.591"," 2452.305"," 4788.617","13723.089","12876.418"," 7675.711","12033.309"," 4787.938"," 2703.630"," 6901.793"," 7844.771"," 3238.100"
