"V1","V2","V3","V4","V5","V6","V7","V8","V9","V10","V11","V12","V13","V14","V15","V16","V17","V18","V19","V20","V21","V22","V23","V24","V25","V26","V27","V28","V29","V30","V31","V32","V33","V34","V35","V36","V37","V38","V39","V40","V41","V42","V43","V44","V45","V46"
"9ArrD 316 Git1GFPA_003","9ArrD 316 Git1GFPA_004","9ArrD 316 Git1GFPA_005","9ArrD 316 Git1GFPA_006","9ArrD 316 Git1GFPA_008","9ArrD Aiy1 Git1GFPA_003","9ArrD Aiy1 Git1GFPA_004","9ArrD Aiy1 Git1GFPA_005","9ArrD Aiy1 Git1GFPA_006","9ArrD Aiy1 Git1GFPA_007","9ArrD Aiy1 Git1GFPA_008","9ArrD Aly2 Git1GFPA_003","9ArrD Aly2 Git1GFPA_004","9ArrD Aly2 Git1GFPA_008","9ArrD Csr2 Git1GFPA_002","9ArrD Csr2 Git1GFPA_003","9ArrD Csr2 Git1GFPA_004","9ArrD Csr2 Git1GFPA_006","9ArrD Csr2 Git1GFPA_007","9ArrD Ecm21 Git1GFPA_003","9ArrD Ecm21 Git1GFPA_006","9ArrD Ecm21 Git1GFPA_007","9ArrD Ldb19 Git1GFPA_003","9ArrD Ldb19 Git1GFPA_005","9ArrD Ldb19 Git1GFPA_008","9ArrD Rod1 Git1GFPA_002","9ArrD Rod1 Git1GFPA_005","9ArrD Rod1 Git1GFPA_008","9ArrD Rod1 Git1GFPA_011","9ArrD Rog3 Git1GFPA_003","9ArrD Rog3 Git1GFPA_005","9ArrD Rog3 Git1GFPA_006","9ArrD Ylr392c Git1GFPA_003","9ArrD Ylr392c Git1GFPA_005","9ArrD Ylr392c Git1GFPA_007","9ArrDYgr068c Git1GFPA_005","9ArrDYgr068c Git1GFPA_006","9ArrDYgr068c Git1GFPA_007","WT 316 Git1GFPA_002","WT 316 Git1GFPA_003","WT 316 Git1GFPA_004","WT 316 Git1GFPA_005","WT 316 Git1GFPA_006","WT 316 Git1GFPA_007","WT 316 Git1GFPA_008","WT 316 Git1GFPA_009"
"2.8801235","3.2571086","2.4192420","2.3985651","2.0297789","1.7665860","1.9242739","2.7295029","1.7526145","0.9990694","2.4918717","0.8756393","2.1459973","1.0499072","2.3793906","3.0274879","1.4867098","2.6336997","2.6961880","3.2228404","2.3427247","2.3138147","2.7819524","3.0457231","3.0682327","2.9526685","2.4455678","2.0489859","3.4131785","2.7210250","2.5562709","2.0401559","2.2755446","2.5469032","2.6738898","3.0923566","3.2059222","1.1365125","1.4182461","1.4689301","1.0932074","1.3139541","1.5176295","1.4013335","1.5523774","1.8070983"
"2.4648947","2.7256188","2.4201256","2.7732365","2.8520512","2.4225582","2.7074419","1.8310029","2.0462673","1.7223588","2.7605108","1.2901748","1.0216685","1.0761010","3.1501746","2.6731649","0.9998571","3.1283844","2.8357911","2.9058921","2.5448965","2.4846033","2.5793879","2.7333854","3.1123864","3.6447440","2.8319532","2.6746477","2.3946771","2.4203959","2.2149560","2.3115957","2.9996187","3.2660873","2.0595127","2.8009261","2.6740643","3.4601181","1.0849684","1.7414812","1.1724258","1.1216472","1.1837431","1.6496484","1.0930678","1.3589242"
"2.2968195","2.0323085","2.7219379","2.1201471","2.3938858","1.1519200","2.4199380","2.5316848","2.1070388","1.7832087","1.4210474","0.9878325","2.6862481","1.2891419","1.9264429","1.9211416","2.8661483","3.0915918","1.5484762","2.8052386","2.4980846","3.4168587","2.2306636","2.9349403","2.0422928","2.7929386","2.4397922","2.3113308","2.8863387","1.4287108","3.0559202","3.0939683","2.8833641","2.9984388","3.1056020","2.9451748","2.7844530","2.7532387","1.2546089","1.6678347","1.0419473","2.1217604","1.0821418","1.4130269","1.8608714","1.4489868"
"3.337998","3.106683","2.380790","2.618547","1.522797","2.591702","2.650341","2.111804","1.702010","2.162950","2.211894","1.312619","1.846183","2.160733","2.801146","1.067805","2.811073","2.879034","2.815210","1.929657","3.507421","3.331341","2.098669","2.687704","2.713375","0.990222","2.729274","2.858070","3.064294","3.260664","2.935847","2.210173","3.225544","2.623833","1.910569","3.132180","2.960852","2.590877","1.789813","1.329349","2.393301","1.485625","1.304083","1.149384","1.164060","1.280229"
"3.0233093","2.9547152","2.5854817","3.3278373","2.7705283","0.9541343","1.9974929","2.6087278","1.3697542","1.0901528","2.3784496","1.1385413","0.7583944","0.9614780","1.7901182","0.8919034","3.4127697","3.4329332","3.6413735","3.6805621","2.6501296","2.1996358","1.9640287","3.6450735","2.4213027","2.9631910","2.4705636","2.7474682","2.7041717","3.0059106","2.8299336","1.7657114","2.2075663","3.3914048","3.2142106","3.4258060","3.3964158","2.1189478","1.6204361","1.0425757","1.4429457","1.0352466","1.7816286","1.4494478","1.5817054","1.3346915"
"2.6115162","2.4429821","2.5212920","1.4340636","3.3634926","1.7222766","2.1013391","1.6763963","1.5636216","2.4510454","2.2505132","0.9006030","1.2224793","2.6552169","3.1049580","1.4384528","3.1257306","2.6879725","2.0865003","3.0430967","2.6940195","2.8545759","1.9044998","2.3742405","2.4726448","2.9469993","2.2312398","2.2057572","2.3265723","2.3259878","3.0356815","3.5484261","2.7846303","2.8464456","3.1276658","3.2131368","3.2771394","2.5231601","1.4616631","1.2868612","0.8939916","0.8838691","1.7873426","1.2427114","1.3551037","1.8397228"
"0.8667242","1.6101711","2.5472873","2.6886674","2.1800718","2.9761820","2.3199680","1.2498787","1.9440115","2.5429045","1.6822277","1.2046398","1.3045892","1.3010686","2.6266962","1.0503991","3.8969235","2.1858402","2.9654810","2.3284438","2.5906794","2.8960196","2.4234078","3.2001591","2.4804863","3.9579902","2.8097778","2.2751143","1.8534992","2.7515222","2.4215428","3.8024729","2.6511229","3.2558460","2.3380776","2.5734439","2.9731198","2.9385865","1.3709435","1.3295169","1.0164278","1.1024253","1.3467197","1.1082583","1.6447411","1.1844742"
"3.0391746","2.0430320","1.5412790","2.4252918","3.0145802","2.4565163","2.5522672","1.0698187","2.1978006","1.3071791","1.7627806","2.1634011","0.6776511","1.1666676","2.7350587","0.9630958","3.0833208","2.7920663","3.7227416","3.0902377","2.7576102","2.4475559","2.5654866","2.7578288","2.7383262","2.6938437","2.1448713","2.0011770","2.3719760","1.5114960","3.4139399","3.1341046","3.1151766","2.5902279","2.7962149","2.2747169","2.5567900","3.6307088","1.3282483","1.2707218","1.0893389","1.4769404","1.0999407","0.9552610","1.2982918","1.2739616"
"2.590052","2.276865","2.216466","2.706421","2.769580","1.947602","2.647701","2.303902","2.192434","2.011491","1.088822","1.108208","1.369558","1.303571","2.816513","2.974865","3.751621","2.321356","2.338738","3.358213","3.249680","2.061265","1.566860","4.056749","2.848583","2.932495","1.819007","2.394146","2.560561","3.051246","2.886932","3.208181","2.733457","3.203699","2.056275","3.437129","2.528685","2.643285","1.068856","1.050762","1.937123","1.424499","1.583117","1.449646","1.718802","1.389548"
"1.9411537","1.7431565","1.9117220","2.4226422","3.0688032","1.8137750","1.7260564","2.3607162","1.4690299","2.1477353","1.6774911","0.6608574","0.9948375","1.5316649","3.5172825","1.0926296","2.5016565","2.8677946","2.3669360","2.6048395","2.5404057","3.5840890","2.7878209","2.2817137","2.1455297","1.5881512","1.9601800","2.3346224","2.9299706","2.4829010","3.2607699","3.4328661","2.6491372","2.9272192","3.0809478","2.2415951","2.8449550","3.0796802","1.2353344","1.2745587","1.4675395","1.3613201","1.6915415","1.4654839","1.1769230","1.7226453"
