"2","3","4","5","6","7","8","9","10","11","12"
"9ArrD 316","9ArrD Aiy1","9ArrD Aly2","9ArrD Csr2","9ArrD Ecm21","9ArrD Ldb19","9ArrD Rod1","9ArrD Rog3","9ArrD Ylr392c","9ArrDYgr068c","WT 316"
" 5062.1277"," 6502.7607"," 6574.2959"," 1543.4762"," 1237.2996"," 6854.3636","  521.6979"," 2864.9784","10623.7083"," 2156.9185","10840.6000"
" 4527.983"," 1637.714","11213.434"," 2176.424"," 2664.945"," 2794.474"," 3335.497"," 1456.634"," 5813.893"," 2052.408"," 4335.171"
"8426.181","1872.345","2023.954","5573.075","1219.985","1356.673","3714.267","4455.765","5681.117","1993.709","4487.567"
"2374.593","2624.217","8179.298","2366.431","5102.372","2570.214","1988.053","3486.315","3393.179","2108.429","4851.938"
" 2598.261"," 2097.700","11213.434"," 6917.905"," 5160.476"," 9356.779"," 1344.149"," 1626.909"," 2796.349"," 4096.597"," 8643.558"
" 6686.627"," 4404.294","11546.450"," 3044.634"," 1473.780","11022.453"," 3073.144","11248.979"," 7320.971"," 5197.259"," 2622.494"
" 2999.128"," 6009.569"," 4782.489"," 2193.548"," 4201.754"," 4229.574"," 4757.606","17611.255"," 1734.078"," 3151.015"," 4495.540"
"1977.142","9461.536","4764.149","4335.930","4574.826","2685.424","4823.179","2087.981","3864.953","3273.168","4387.072"
"1742.941","2994.111","5828.690","1524.343","3802.989","1737.306","7609.546","1671.896","2582.008","5053.643","2398.605"
"3905.157","5067.256","5703.769","7956.731","3845.744","2665.682","1072.631","2600.740","1365.918","2311.162","4505.482"
" 4103.987"," 3965.524","17242.050"," 4119.799"," 5886.276"," 1166.302"," 1663.832"," 9203.791"," 2125.479"," 3850.433"," 2650.640"
" 5095.630"," 7290.055","14223.468"," 2154.606"," 7191.598"," 2269.274"," 6484.549"," 9123.316"," 4850.063"," 5748.454"," 5028.353"
"3285.895","5572.411","4587.701","2082.554","3892.400","3655.725","9259.111","2563.917","3450.844","7107.866","4637.457"
" 4217.280","31181.926"," 3353.448"," 1921.266"," 2405.648"," 3022.149"," 4069.642"," 1348.596"," 2724.545"," 4348.291"," 9100.034"
" 4745.037","10570.000","11309.412"," 3691.739"," 5951.882"," 2930.076"," 1872.819"," 1560.822"," 1466.110"," 3336.298"," 5932.609"
"6915.4167","2759.2472","2384.2155","1003.7719","7918.3657","1244.5704"," 661.6429","1050.2912","1933.6313","3102.9743","7866.8654"
"4795.392","7427.224","4350.361","2205.362","2397.446","3529.524","6809.652","2820.505","2725.728","2411.133","2723.359"
" 3647.048"," 5291.283"," 3118.162"," 4265.241"," 2043.639"," 1522.279"," 8214.100"," 2017.762"," 7915.801"," 4888.276","15559.462"
" 2445.9039","12915.9332"," 8343.9429","  993.0843"," 8095.7500"," 2627.1562"," 6500.7229"," 4586.5729"," 4533.3955"," 1094.0000","10423.4276"
" 8136.911","31379.039"," 6242.913"," 2107.339"," 3131.655"," 1662.364"," 4612.248"," 2459.358"," 3755.755"," 3436.058"," 5492.559"
" 6698.167","12339.502"," 6773.395","14609.400"," 1667.221"," 2668.804"," 1285.556"," 4648.844"," 3852.485"," 5525.240"," 8212.276"
" 3447.156","14379.230"," 6242.913"," 2361.818"," 4347.952"," 2020.714"," 4372.096"," 3507.805"," 4818.407"," 5041.316"," 6839.885"
" 1160.2680"," 2237.6629"," 4153.8193","16789.5097"," 1502.5688"," 2262.7015"," 5664.3306"," 2065.3714"," 3554.0455","  959.8303"," 8291.7143"
"1090.286","1554.600","7084.972","2833.639","1379.324","5964.202","1259.000","1567.965","1993.801","1632.302","7982.171"
"2411.210","2366.506","7560.550","2346.830","1341.062","1207.956","6952.547","5566.140","2546.823","2617.394","8665.792"
"2364.262","3844.841","8654.635","2977.063","1502.442","4479.309","1538.299","5647.474","1864.657","3747.690","4590.089"
"2027.581","2630.415","6233.918","2811.263","2047.073","4257.872","2429.866","2814.405","5014.737","3699.726","5884.026"
" 2490.833","10540.636","13311.187"," 7695.905"," 2912.469"," 6442.151"," 1874.045"," 4067.318","16271.752"," 3959.015"," 6810.163"
"2209.624","4312.300","1105.232","2490.150","2864.209","3951.222","1488.568","5695.781","2566.452","1783.249","1829.865"
"2347.070","6118.486","4739.202","4339.536","1080.972","8362.163","1460.311","3113.199","2544.864","2281.783","2905.635"
"3063.646","5505.317","1877.000","1906.288","1018.221","2201.431","4752.488","2171.540","2001.077","3083.125","2803.794"
" 6414.730","13086.935"," 3790.343"," 2186.682"," 3688.376"," 4407.105"," 3623.443"," 8785.381"," 8951.486"," 1324.349"," 2874.529"
"8808.833","9007.050","4828.286","7296.098","3445.481","3784.057","1881.558","3211.378","7099.311","3078.724","4393.647"
"7821.759","8261.185","4077.852","3132.084","4194.568","8352.691","2783.793","3083.566","3227.601","1719.585","4781.664"
"1606.800","7240.962","5050.073","1444.190","2106.961","1834.188","7806.764","3712.484","2242.762","5563.846","3027.183"
"1693.320","9535.718","7336.054","3149.385","6070.929","7202.403","9166.318","1487.133","9599.798","1546.029","5356.844"
" 6096.762"," 1815.893"," 2751.807"," 3528.213"," 8199.181"," 1992.111"," 1540.225"," 3422.914","11029.189","11511.655"," 9407.531"
" 3683.854"," 9535.718"," 8124.859"," 2297.938"," 5958.313"," 3574.580"," 2211.938","12180.643"," 3512.908"," 1299.022"," 3447.529"
" 2207.272"," 3101.330"," 4823.838"," 2972.898"," 1168.664"," 2879.767","13318.505"," 4547.000"," 2120.350"," 2629.016"," 2266.943"
