"CellID","vacuoles","cell_area","vac_area","PM_vac_ratio","cell_mpi","vac_mpi","pm_center_x","pm_center_y"
1,23,617,942,0.920183317054047,0.149237487880268,0.162182344663724,1867.22042139384,41.6369529983793
2,24,923,1177,0.979561228608453,0.127668185873403,0.130332012073166,1352.29252437703,130.390032502709
3,25,519,662,1.03342761349319,0.141522812164234,0.136945065446683,197.385356454721,111.183044315992
4,26,1133,550,0.970287510835525,0.158200367388224,0.163044835290105,1686.28861429832,156.968225948808
5,27,780,611,1.07199574859346,0.164450626304597,0.153406043373185,151.673076923077,261.047435897436
6,28,549,894,0.934504553183263,0.135034505818232,0.144498499614855,1093.66484517304,457.058287795993
7,29,1014,408,0.946725539110856,0.150003829803819,0.158444896231171,944.668639053254,514.53057199211
8,30,658,612,1.06915104673607,0.125346232540537,0.117239030839653,486.103343465046,672.77811550152
9,31,946,1040,1.05260344708479,0.139945812729218,0.132952075272793,1326.90274841438,727.559196617336
10,32,951,356,0.869723529005098,0.156174340181682,0.179567799390611,761.093585699264,746.25341745531
11,33,594,870,0.997505223820437,0.12822428398838,0.128544974929837,553.473063973064,750.651515151515
12,34,942,1198,0.943175784472543,0.155920638183483,0.165314505260204,773.743099787686,853.160297239915
13,35,1028,190,1.2283372527501,0.178892260321289,0.145637739082463,1954.08754863813,971.603112840467
14,36,1160,399,1.00201943367896,0.151857785915923,0.151551737233649,904.981034482759,1027.05344827586
15,37,571,862,1.13091970228881,0.148275576866521,0.131110614278302,151.416812609457,1062.27845884413
16,38,706,522,1.01708028079775,0.142978677786301,0.140577573359454,670.631728045326,1104.5821529745
17,39,801,243,1.02467447258953,0.166713100956146,0.162698598838744,935.16354556804,1390.66042446941
18,40,584,520,0.905543362720766,0.146272565846337,0.16153016174383,446.916095890411,1407.67979452055
19,41,770,633,0.813208787767654,0.154431130782699,0.189903420997981,822.384415584416,1417.04805194805
20,42,538,1061,1.06005762770538,0.121124640966276,0.114262317255775,153.267657992565,1485.07992565056
21,43,1019,1042,0.95740180737118,0.15706508062686,0.164053461584877,1098.63591756624,1488.28949950932
22,44,898,577,0.969342191834959,0.141349247575591,0.14581976186141,1362.67928730512,1796.10913140312
